Record_ID,Year,Region,District,Commodity,Commodity_Category,Farm_Size_Ha,Area_Harvested_Ha,Production_MT,Yield_MT_per_Ha,Farmers_Count,Farmgate_Price_UGX_per_Kg,Estimated_Production_Value_UGX,Input_Cost_UGX,Estimated_Profit_UGX,Profit_Margin_Percent,Export_Volume_MT,Export_Value_USD,Export_Value_UGX,Export_Price_USD_per_MT,Import_Volume_MT,Import_Value_USD,Import_Price_USD_per_MT,Trade_Balance_USD,Export_Share_Percent,Global_Demand_Index,Employment_Estimate,Processing_Level,Value_Addition_Index,Market_Access_Index,Input_Cost_Index,Infrastructure_Index,Rainfall_Index,Climate_Risk_Index,Post_Harvest_Loss_Percent,Access_to_Finance_Index,Data_Status,Source_Basis
UAB-112269,2022,Central,Kampala,Bananas,Roots & Tubers,0.86,0.76,12.84,16.89,4,917,11774280,4293986,6674933,56.69,0.84,416.67,1562512,496.04,0.42,190.28,453.05,226.39,6.53,117,10,Puree/Flour/Wine,62,86,143,62,64.0,72,13.68,75.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-103317,2015,Eastern,Katakwi,Sweet Potatoes,Roots & Tubers,0.49,0.45,4.95,11.01,5,527,2608650,958292,1491882,57.19,0.18,38.15,123606,211.94,0.25,50.22,200.89,-12.07,3.6,97,10,Processed Puree,50,66,92,63,79.0,54,12.15,75.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-103586,2022,Central,Mityana,Maize,Cereals,2.55,2.01,2.85,1.42,7,1375,3918750,2117275,1580261,40.33,0.62,193.65,726187,312.34,0.2,60.48,302.41,133.17,21.73,106,13,Milled Flour,62,68,134,42,94.0,40,11.29,60.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-114253,2015,Eastern,Tororo,Cassava,Roots & Tubers,0.3,0.26,1.87,7.19,1,444,830280,309957,478767,57.66,0.02,3.82,12376,191.05,0.03,4.9,163.39,-1.08,1.27,65,3,Dried Chips,56,45,101,51,92.0,31,10.01,41.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-117092,2016,Northern,Apac,Dairy/Milk,Livestock & Fisheries,2.81,2.49,9.98,4.01,7,1216,12135680,6681828,4651076,38.33,2.59,2428.12,8304170,937.5,0.2,197.82,989.08,2230.3,25.93,91,11,Pasteurized Milk,66,43,117,41,80.0,60,13.23,31.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-102361,2023,Western,Rukungiri,Fish,Livestock & Fisheries,4.6,4.45,16.11,3.62,13,11509,185409990,71042628,107711143,58.09,6.43,36459.32,139274602,5670.19,0.56,2747.99,4907.13,33711.33,39.94,119,22,Chilled Fillet,59,51,150,71,107.0,14,7.18,66.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-110590,2020,Central,Mityana,Beef,Livestock & Fisheries,0.5,0.46,1.06,2.3,2,13665,14484900,7482553,6076761,41.95,0.07,257.0,956040,3671.43,0.02,75.24,3761.96,181.76,6.52,97,6,Chilled Prime Cuts,39,66,108,73,97.0,30,12.78,45.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-103398,2016,Central,Kampala,Dairy/Milk,Livestock & Fisheries,6.67,5.39,26.2,4.86,7,1208,31649600,13027794,17552049,55.46,2.76,2475.64,8466688,896.97,0.05,40.76,815.23,2434.88,10.54,94,13,Pasteurized Milk,60,83,111,84,82.0,47,6.76,59.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-107840,2019,Central,Mityana,Bananas,Roots & Tubers,2.24,1.74,25.49,14.65,7,850,21666500,8348107,12865563,59.38,0.53,210.19,777703,396.59,0.06,24.08,401.36,186.11,2.08,108,11,Fresh Bunch,33,54,136,54,119.0,23,4.18,60.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-110528,2018,Central,Lwengo,Bananas,Roots & Tubers,4.15,3.99,57.14,14.32,10,775,44283500,23379452,19734963,44.57,2.15,829.43,3085479,385.78,1.19,464.43,390.28,365.0,3.77,96,16,Puree/Flour/Wine,57,87,124,58,124.0,10,5.28,76.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-112978,2021,Western,Kasese,Tomatoes,Horticulture,0.89,0.8,13.66,17.07,1,1863,25448580,12100735,10965857,43.09,0.27,170.31,609709,630.78,5.42,3142.19,579.74,-2971.88,1.94,94,4,Fresh Produce,37,37,132,42,95.0,25,18.72,60.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-107540,2022,Western,Bushenyi,Groundnuts,Legumes,0.6,0.58,0.85,1.46,2,4377,3720450,1792100,1522262,40.92,0.1,114.86,430725,1148.55,0.01,13.09,1308.98,101.77,11.26,115,5,Peanut Butter/Paste,62,66,122,75,81.0,54,21.83,55.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-116079,2021,Central,Mukono,Bananas,Roots & Tubers,1.49,1.2,18.18,15.15,3,811,14743980,5917437,8056170,54.64,0.27,107.91,386317,399.65,0.06,24.51,408.42,83.4,1.5,115,5,Fresh Bunch,22,72,126,73,76.0,52,10.45,62.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-111889,2022,Central,Lwengo,Millet,Cereals,3.99,3.42,4.07,1.19,10,2613,10634910,5357702,5117684,48.12,0.33,195.43,732862,592.22,0.03,19.92,664.09,175.51,8.15,124,18,Composite Flour,66,78,140,85,85.0,46,3.0,62.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-100636,2017,Eastern,Bugiri,Cotton,Export Cash Crops,5.86,4.98,4.23,0.85,16,2747,11619810,6814801,3849860,33.13,2.71,4049.72,14619489,1494.36,0.58,967.32,1667.79,3082.4,64.1,92,22,Ginned Lint,30,62,114,66,102.0,27,16.44,28.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-114799,2015,Central,Kyenjojo,Cocoa,Export Cash Crops,6.14,5.7,3.76,0.66,11,9483,35656080,14823868,19063670,53.47,3.19,8766.53,28403557,2748.13,0.03,73.69,2456.5,8692.84,84.8,99,17,Fermented Beans,26,95,100,67,101.0,29,9.92,54.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-117265,2021,Western,Kabale,Onions,Horticulture,0.58,0.5,8.06,16.13,1,3133,25251980,13334900,9970152,39.48,0.32,219.45,785631,685.79,0.56,385.0,687.5,-165.55,4.0,93,2,Dehydrated Powder,62,59,132,53,80.0,48,15.42,43.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-112666,2017,Central,Kyenjojo,Tobacco,Export Cash Crops,4.43,3.73,4.77,1.28,9,4634,22104180,12378738,9205993,41.65,3.66,10128.54,36564029,2767.36,0.26,814.73,3133.57,9313.81,76.78,87,15,Cured Leaf,38,78,105,80,93.0,32,4.7,60.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-100201,2016,Northern,Dokolo,Onions,Horticulture,1.57,1.44,15.51,10.77,3,2147,33299970,13624329,16254069,48.81,1.18,617.03,2110242,522.91,3.64,2025.66,556.5,-1408.63,7.64,112,4,Fresh Bulb,15,34,105,32,97.0,24,20.55,29.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-117734,2020,Northern,Yumbe,Cocoa,Export Cash Crops,3.82,3.31,1.85,0.56,15,11081,20499850,9680126,8704139,42.46,1.49,6441.63,23962863,4323.24,0.0,0.0,4524.75,6441.63,80.37,93,28,Semi-Processed Liquor,70,39,122,56,71.0,57,20.64,21.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-111987,2020,Eastern,Jinja,Tobacco,Export Cash Crops,6.25,5.98,10.29,1.72,7,6056,62316240,31695926,26984161,43.3,7.47,22088.94,82170856,2957.02,0.37,1198.83,3240.08,20890.11,72.57,96,10,Processed Cut Rag,42,54,117,38,110.0,13,11.67,29.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-103205,2022,Western,Rukungiri,Onions,Horticulture,0.62,0.5,4.58,9.15,2,2604,11926320,6020651,5134036,43.05,0.51,373.49,1400587,732.33,0.82,523.46,638.36,-149.97,11.21,103,4,Fresh Bulb,36,48,130,58,77.0,47,12.94,75.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-101406,2023,Central,Masaka,Irish Potatoes,Roots & Tubers,1.34,1.16,9.02,7.78,4,1850,16687000,8897284,7539411,45.18,0.36,213.95,817289,594.31,0.65,422.45,649.92,-208.5,3.97,119,9,Crisps/Frozen Potato,69,91,144,82,109.0,11,3.0,49.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-100108,2021,Northern,Kitgum,Horticultural Products,Horticulture,2.2,2.07,25.94,12.53,5,3711,96263340,48381816,36344362,37.76,17.77,49350.67,176675398,2777.19,0.21,596.73,2841.55,48753.94,68.52,100,8,Fresh Cut Flowers,35,37,140,27,90.0,46,23.97,24.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-111014,2020,Western,Bushenyi,Onions,Horticulture,0.92,0.78,12.28,15.74,2,2945,36164600,20663078,13271974,36.7,1.18,859.46,3197191,728.36,0.71,443.91,625.23,415.55,9.59,100,4,Dehydrated Powder,67,63,123,60,129.0,10,12.33,44.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-112922,2024,Western,Fort Portal,Cotton,Export Cash Crops,9.93,8.55,5.13,0.6,15,4092,20991960,9874662,9955393,47.42,5.03,9192.27,35666007,1827.49,0.5,872.12,1744.25,8320.15,98.0,122,19,Ginned Lint,22,71,150,64,99.0,26,11.07,59.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-106008,2019,Central,Lwengo,Sweet Potatoes,Roots & Tubers,4.76,4.05,36.77,9.08,11,743,27320110,12502139,13438305,49.19,1.08,312.39,1155843,289.25,1.11,317.68,286.2,-5.29,2.94,113,20,Processed Puree,66,68,115,63,132.0,10,10.1,67.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-115354,2016,Central,Mityana,Tobacco,Export Cash Crops,0.92,0.75,0.92,1.23,1,5525,5083000,2572102,2434653,47.9,0.77,1916.35,6553917,2488.77,0.03,79.77,2658.87,1836.58,83.8,96,3,Cured Leaf,25,93,106,86,88.0,36,3.0,52.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
